Crop Name,Soil Type,pH Level,Climate Condition,Recommended Fertilizer
Lychee,Sandy,4.6,Temperate,"Bone Meal, Potash"
Coffee,Sandy,5.3,Moderate,"Cow Manure, Urea"
Rubber,Chalky,7.0,Subtropical,"Potash, Bone Meal"
Lychee,Clayey,6.6,Temperate,"Phosphorus-based Fertilizer, NPK 20:20:20"
Rubber,Loamy,4.8,Dry,"Organic Manure, Gypsum"
Garlic,Peaty,5.3,Humid,"Potash, Cow Manure"
Grapes,Silty,8.4,Warm,"Bone Meal, SSP"
Mustard,Saline,8.1,Wet,"DAP, NPK 20:20:20"
Pineapple,Clayey,8.2,Humid,"MOP, Urea"
Pomegranate,Loamy,5.8,Moderate,"Phosphorus-based Fertilizer, Urea"
Tobacco,Chalky,5.9,Tropical,"Phosphorus-based Fertilizer, DAP"
Millet,Clayey,7.6,Wet,"SSP, Urea"
Barley,Clayey,7.5,Wet,"Organic Manure, MOP"
Pumpkin,Sandy,8.2,Arid,"Urea, Bone Meal"
Chickpeas,Loamy,8.4,Temperate,"Cow Manure, Compost"
Bajra,Saline,7.6,Warm,"Ammonium Sulfate, Potash"
Garlic,Sandy,6.2,Arid,"Urea, Organic Manure"
Cabbage,Saline,6.6,Tropical,"Compost, Urea"
Turmeric,Clayey,8.2,Subtropical,"Gypsum, Bone Meal"
Banana,Silty,5.8,Wet,"Potash, Gypsum"
Lychee,Peaty,7.6,Cool,"Bio-Fertilizer, SSP"
Cotton,Saline,7.3,Dry,"SSP, Organic Manure"
Muskmelon,Saline,8.2,Tropical,"Gypsum, Bone Meal"
Papaya,Loamy,6.1,Humid,"Compost, NPK 20:20:20"
Cabbage,Silty,4.7,Arid,"NPK 20:20:20, Ammonium Sulfate"
Tomato,Clayey,8.0,Subtropical,"Cow Manure, Ammonium Sulfate"
Groundnut,Clayey,4.8,Subtropical,"Bio-Fertilizer, Cow Manure"
Banana,Chalky,4.7,Arid,"MOP, Urea"
Maize,Sandy,7.4,Cool,"Gypsum, DAP"
Papaya,Saline,7.0,Dry,"Bio-Fertilizer, NPK 20:20:20"
Coffee,Chalky,5.8,Temperate,"Gypsum, Compost"
Maize,Clayey,7.0,Arid,"Potash, Compost"
Brinjal,Clayey,4.5,Warm,"Ammonium Sulfate, SSP"
Lemon,Peaty,5.0,Warm,"Ammonium Sulfate, NPK 20:20:20"
Soybean,Loamy,4.7,Warm,"Bio-Fertilizer, Compost"
Soybean,Sandy,5.0,Tropical,"Organic Manure, Cow Manure"
Mango,Silty,6.7,Tropical,"Ammonium Sulfate, Bio-Fertilizer"
Lentils,Chalky,4.7,Arid,"DAP, Cow Manure"
Soybean,Clayey,4.7,Temperate,"Organic Manure, Phosphorus-based Fertilizer"
Wheat,Chalky,4.8,Arid,"Gypsum, DAP"
Ginger,Silty,7.4,Warm,"NPK 20:20:20, SSP"
Rice,Sandy,8.2,Dry,"Cow Manure, MOP"
Strawberry,Clayey,8.1,Cool,"Potash, Urea"
Pineapple,Loamy,8.1,Wet,"Gypsum, Potash"
Mustard,Clayey,7.0,Arid,"Cow Manure, Phosphorus-based Fertilizer"
Peas,Saline,4.7,Temperate,"Organic Manure, Bone Meal"
Lemon,Clayey,4.8,Dry,"NPK 20:20:20, Phosphorus-based Fertilizer"
Papaya,Sandy,7.9,Humid,"Urea, Bone Meal"
Chili,Silty,7.7,Wet,"Bone Meal, Compost"
Rubber,Loamy,6.8,Tropical,"Bio-Fertilizer, MOP"
Muskmelon,Loamy,5.4,Moderate,"Potash, Ammonium Sulfate"
Carrot,Chalky,8.3,Arid,"DAP, Gypsum"
Rice,Loamy,7.9,Moderate,"Ammonium Sulfate, Organic Manure"
Muskmelon,Peaty,5.6,Humid,"MOP, Cow Manure"
Strawberry,Clayey,5.1,Dry,"Compost, SSP"
Coffee,Clayey,8.2,Subtropical,"Potash, Gypsum"
Coffee,Silty,5.1,Humid,"Ammonium Sulfate, Cow Manure"
Lychee,Peaty,6.5,Humid,"Bone Meal, Ammonium Sulfate"
Green Gram,Silty,4.7,Subtropical,"Potash, Gypsum"
Spinach,Chalky,5.7,Temperate,"Potash, Cow Manure"
Grapes,Saline,6.0,Dry,"Bio-Fertilizer, SSP"
Apple,Sandy,5.4,Arid,"Urea, DAP"
Lentils,Chalky,6.2,Warm,"MOP, Bio-Fertilizer"
Lychee,Sandy,7.9,Cool,"MOP, Organic Manure"
Millet,Chalky,5.2,Subtropical,"Urea, Compost"
Apple,Loamy,5.3,Subtropical,"DAP, Urea"
Brinjal,Loamy,7.3,Temperate,"Cow Manure, Urea"
Banana,Chalky,7.8,Moderate,"Potash, DAP"
Sugarcane,Peaty,6.8,Humid,"Organic Manure, NPK 20:20:20"
Tomato,Sandy,5.5,Subtropical,"Cow Manure, SSP"
Lentils,Sandy,4.8,Cool,"Bio-Fertilizer, NPK 20:20:20"
Wheat,Chalky,6.4,Moderate,"Potash, Ammonium Sulfate"
Peas,Saline,7.4,Dry,"NPK 20:20:20, Bio-Fertilizer"
Garlic,Loamy,4.9,Cool,"Ammonium Sulfate, Potash"
Strawberry,Peaty,5.8,Humid,"SSP, Ammonium Sulfate"
Chili,Sandy,5.4,Wet,"MOP, Compost"
Bajra,Chalky,8.0,Warm,"Bio-Fertilizer, DAP"
Mango,Peaty,6.5,Tropical,"NPK 20:20:20, Potash"
Wheat,Silty,4.7,Warm,"MOP, NPK 20:20:20"
Tobacco,Clayey,6.2,Wet,"Bone Meal, NPK 20:20:20"
Sunflower,Chalky,6.4,Humid,"Potash, Cow Manure"
Cabbage,Silty,5.2,Cool,"Potash, SSP"
Rubber,Peaty,6.2,Tropical,"Gypsum, NPK 20:20:20"
Ragi,Peaty,7.1,Temperate,"Gypsum, Bone Meal"
Cashew,Clayey,6.1,Temperate,"Phosphorus-based Fertilizer, Gypsum"
Oats,Saline,7.1,Arid,"Ammonium Sulfate, SSP"
Orange,Loamy,6.0,Wet,"Bio-Fertilizer, MOP"
Carrot,Saline,4.6,Dry,"SSP, DAP"
Coffee,Peaty,4.5,Humid,"Gypsum, Bone Meal"
Peas,Chalky,7.4,Tropical,"Organic Manure, SSP"
Rubber,Chalky,5.1,Moderate,"NPK 20:20:20, Compost"
Ginger,Chalky,8.2,Arid,"DAP, Phosphorus-based Fertilizer"
Watermelon,Chalky,8.0,Moderate,"Ammonium Sulfate, Bone Meal"
Muskmelon,Chalky,7.2,Dry,"Ammonium Sulfate, Potash"
Garlic,Saline,8.3,Humid,"Potash, NPK 20:20:20"
Lentils,Saline,8.0,Temperate,"NPK 20:20:20, Bone Meal"
Brinjal,Chalky,7.9,Wet,"Potash, Compost"
Rice,Clayey,5.2,Cool,"SSP, MOP"
Rubber,Loamy,6.1,Wet,"Phosphorus-based Fertilizer, SSP"
Guava,Chalky,6.9,Cool,"SSP, Phosphorus-based Fertilizer"
Brinjal,Chalky,6.8,Dry,"DAP, NPK 20:20:20"
Grapes,Sandy,6.9,Dry,"Cow Manure, Urea"
Papaya,Chalky,6.2,Wet,"Potash, MOP"
Apple,Clayey,5.0,Tropical,"SSP, Gypsum"
Ragi,Silty,7.5,Arid,"NPK 20:20:20, Urea"
Rubber,Sandy,8.0,Temperate,"Organic Manure, MOP"
Chili,Peaty,7.1,Subtropical,"Compost, Organic Manure"
Pumpkin,Peaty,6.5,Cool,"Potash, DAP"
Lychee,Clayey,6.1,Dry,"Ammonium Sulfate, Potash"
Banana,Chalky,6.4,Dry,"Ammonium Sulfate, Bone Meal"
Lychee,Chalky,4.7,Subtropical,"Gypsum, DAP"
Sugarcane,Clayey,6.3,Subtropical,"Bone Meal, DAP"
Green Gram,Sandy,7.6,Wet,"SSP, MOP"
Ragi,Sandy,4.6,Subtropical,"Phosphorus-based Fertilizer, Urea"
Pumpkin,Peaty,4.8,Arid,"Potash, Ammonium Sulfate"
Papaya,Clayey,8.3,Humid,"Bone Meal, Organic Manure"
Lemon,Clayey,7.2,Moderate,"Cow Manure, Organic Manure"
Bitter Gourd,Clayey,4.9,Dry,"Compost, Gypsum"
Oats,Saline,7.7,Temperate,"Cow Manure, Ammonium Sulfate"
Sorghum,Peaty,8.5,Arid,"Organic Manure, NPK 20:20:20"
Onion,Sandy,4.9,Temperate,"MOP, Gypsum"
Spinach,Silty,4.8,Temperate,"Cow Manure, Bio-Fertilizer"
Cauliflower,Peaty,8.2,Arid,"Urea, Gypsum"
Barley,Silty,8.4,Subtropical,"Compost, Gypsum"
Mango,Peaty,8.2,Temperate,"Gypsum, Potash"
Pigeon Pea,Saline,7.3,Dry,"Organic Manure, Cow Manure"
Pigeon Pea,Chalky,4.8,Subtropical,"Cow Manure, Gypsum"
Strawberry,Chalky,7.3,Humid,"Gypsum, Bio-Fertilizer"
Tea,Clayey,7.7,Subtropical,"Urea, Gypsum"
Watermelon,Silty,6.2,Arid,"Urea, Compost"
Ginger,Loamy,6.3,Cool,"Gypsum, SSP"
Potato,Saline,7.2,Temperate,"Bio-Fertilizer, Phosphorus-based Fertilizer"
Pineapple,Peaty,7.6,Cool,"Compost, DAP"
Peas,Peaty,6.9,Temperate,"MOP, NPK 20:20:20"
Bitter Gourd,Loamy,8.1,Tropical,"Bone Meal, Bio-Fertilizer"
Lemon,Loamy,6.2,Temperate,"Potash, NPK 20:20:20"
Chickpeas,Loamy,7.7,Dry,"Bone Meal, NPK 20:20:20"
Cabbage,Loamy,7.0,Temperate,"Organic Manure, MOP"
Onion,Peaty,4.8,Cool,"Cow Manure, Bio-Fertilizer"
Watermelon,Chalky,4.6,Temperate,"Phosphorus-based Fertilizer, Urea"
Lemon,Peaty,6.7,Cool,"Cow Manure, NPK 20:20:20"
Millet,Sandy,7.2,Tropical,"DAP, Gypsum"
Garlic,Chalky,4.5,Moderate,"Organic Manure, Gypsum"
Rice,Peaty,5.6,Tropical,"Gypsum, Ammonium Sulfate"
Barley,Saline,7.9,Tropical,"Urea, Ammonium Sulfate"
Cotton,Silty,7.6,Cool,"Cow Manure, NPK 20:20:20"
Coconut,Sandy,6.7,Warm,"Urea, Bio-Fertilizer"
Banana,Clayey,6.2,Arid,"NPK 20:20:20, Cow Manure"
Groundnut,Peaty,6.5,Dry,"Urea, Gypsum"
Jute,Chalky,6.3,Warm,"DAP, Organic Manure"
Sugarcane,Loamy,8.2,Subtropical,"Urea, SSP"
Sorghum,Saline,5.8,Subtropical,"Organic Manure, Gypsum"
Cabbage,Peaty,6.7,Moderate,"Potash, Ammonium Sulfate"
Chickpeas,Clayey,7.4,Arid,"Bone Meal, SSP"
Groundnut,Peaty,5.7,Moderate,"Gypsum, NPK 20:20:20"
Bajra,Loamy,7.3,Wet,"Compost, Cow Manure"
Rubber,Loamy,7.7,Temperate,"Bio-Fertilizer, Phosphorus-based Fertilizer"
Bajra,Silty,7.1,Tropical,"Organic Manure, Compost"
Turmeric,Silty,7.8,Warm,"Bio-Fertilizer, Organic Manure"
Soybean,Peaty,8.2,Warm,"Gypsum, Compost"
Black Gram,Chalky,8.5,Dry,"DAP, Compost"
Sorghum,Saline,7.3,Subtropical,"Potash, Ammonium Sulfate"
Cashew,Silty,6.9,Subtropical,"MOP, SSP"
Rice,Peaty,6.6,Subtropical,"Ammonium Sulfate, Gypsum"
Soybean,Sandy,4.6,Temperate,"Gypsum, Organic Manure"
Cashew,Silty,8.1,Temperate,"Phosphorus-based Fertilizer, DAP"
Grapes,Sandy,7.4,Wet,"Bio-Fertilizer, SSP"
Wheat,Peaty,4.9,Dry,"Organic Manure, SSP"
Pigeon Pea,Loamy,8.0,Dry,"Cow Manure, Organic Manure"
Rubber,Sandy,6.5,Humid,"Potash, Urea"
Papaya,Silty,5.7,Tropical,"Urea, DAP"
Coconut,Clayey,6.7,Dry,"Phosphorus-based Fertilizer, Compost"
Cotton,Chalky,7.3,Wet,"Cow Manure, Ammonium Sulfate"
Wheat,Sandy,7.5,Warm,"Ammonium Sulfate, Bio-Fertilizer"
Spinach,Peaty,5.5,Cool,"Cow Manure, Potash"
Wheat,Silty,7.3,Humid,"DAP, Potash"
Bottle Gourd,Saline,7.7,Warm,"DAP, SSP"
Cashew,Peaty,5.1,Cool,"DAP, Phosphorus-based Fertilizer"
Cotton,Saline,5.3,Warm,"Cow Manure, Gypsum"
Lentils,Silty,8.5,Subtropical,"Compost, Phosphorus-based Fertilizer"
Ginger,Silty,7.6,Cool,"Ammonium Sulfate, MOP"
Cashew,Silty,4.8,Moderate,"Compost, Potash"
Peas,Peaty,4.9,Temperate,"Bone Meal, Gypsum"
Mango,Clayey,6.6,Warm,"Bone Meal, Phosphorus-based Fertilizer"
Mustard,Saline,7.0,Dry,"Potash, Organic Manure"
Sorghum,Loamy,7.8,Humid,"DAP, Phosphorus-based Fertilizer"
Coffee,Silty,7.7,Moderate,"Bio-Fertilizer, Potash"
Lychee,Loamy,8.4,Dry,"Phosphorus-based Fertilizer, NPK 20:20:20"
Pomegranate,Peaty,7.0,Humid,"MOP, SSP"
Jute,Clayey,6.5,Moderate,"Cow Manure, Bio-Fertilizer"
Muskmelon,Sandy,5.3,Temperate,"Urea, Organic Manure"
Guava,Sandy,8.4,Tropical,"Urea, NPK 20:20:20"
Soybean,Clayey,8.4,Arid,"Potash, MOP"
Orange,Silty,4.9,Cool,"Urea, Ammonium Sulfate"
Mustard,Loamy,4.7,Wet,"Urea, Bio-Fertilizer"
Wheat,Loamy,4.9,Temperate,"DAP, Potash"
Bottle Gourd,Loamy,8.1,Humid,"Phosphorus-based Fertilizer, Cow Manure"
Cucumber,Clayey,6.7,Dry,"Phosphorus-based Fertilizer, NPK 20:20:20"
Turmeric,Peaty,7.8,Dry,"Ammonium Sulfate, Gypsum"
